,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80
T11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
T33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887892376681614,0.9854260089686099,1.0,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9887892376681614,0.9887892376681614,0.9887892376681614,0.9887892376681614,1.0,0.9887892376681614,0.9887892376681614,1.0,1.0,0.9854260089686099,1.0,1.0,1.0,1.0,0.9887892376681614,1.0
